config-benchmark;totalCycles;totalCommitted;totalBranches;totalBranchLatency;totalMispredicts;totalFilledMSHRs;totalMemAccesses;totalHitsInCache;totalMissesInCache;totalTaintsCalced;totalYrotsOnCalc;totalTaintedLoads;totalFilledIntIssueSlots;totalFilledFpIssueSlots;totalFilledMemIssueSlots;totalStallIFURedirect;totalStallROCCWait;totalStallWaitForEmpty;totalStallRenStall;totalStallIssueFull;totalStallSTQFull;totalStallLSQFull;totalStallROBNotReady
stt-register-554.roms;8339159700;6174390538;327730196;5462072541;3818556;8499851249;4337074042;2314929151;1291366263;6663132941;6558886415;38541574;26833079566;104171794187;11739957107;149654468;141978769;1472933141;10603892;153580049;1205005550;1645247964;2105904276
stt-register-557.xz;8333471258;9135393072;918319115;18310108269;92283981;1900202249;2282308212;1700974768;263131435;12415794375;12198497894;103221231;96369978075;32807;20620921727;277226269;36413030;1508371749;26955329;27761331;372533767;9584567;1426932921
stt-rename-500.perlbench;8320553539;6127146955;804535848;21039657687;67077098;1886047497;3363857461;2878064742;204345521;9540191993;5586475184;771343790;68668519885;109153792;49572311526;932488687;156223759;1282533941;8438322;12985187;178924721;316987938;2374033122
stt-rename-502.gcc;8319864954;5634720254;709071790;22106070953;69494018;3314743409;3168231880;2641432275;357056433;7487435315;4958313095;439531693;52934158871;206268;33104982596;596669561;175006201;1164437821;14146259;30746901;227998706;418659140;1825348891
stt-rename-503.bwaves;8318728101;4314696402;191267980;3606591215;3636253;9804890984;5387559226;1750181916;2514695400;4538955954;3730874664;57548672;18138068338;95550469314;9438179195;207811164;122105405;1365463625;9419664;138082292;1683091861;2089912738;1856387364
stt-rename-505.mcf;8322553630;2886903469;643002232;43091213471;50462311;12727628023;1887320342;1441531210;762146730;5799868418;3431996379;900138996;112441822719;29280;71759836659;357665951;53573095;1062564211;175451;3557684;39689162;3308181127;1845371978
stt-rename-507.cactuBSSN;8318704838;6844312153;80579497;2634994497;3455919;11976651763;6301895425;2480694112;2422715304;6976673946;5954002548;132975606;22642947010;73769660693;14591981983;83533894;109455328;1719755468;224212145;62409036;1136026955;2482817332;1474817694
stt-rename-508.namd;8319270841;10614860753;651067650;14108584279;30078413;4453261134;3844304585;2973849179;761468641;12648603828;7000412808;1073730502;69610538193;115035837719;57713474048;248700170;233498935;1318634503;4561922;261674222;209350474;179625524;1855454999
stt-rename-510.parest;8316832870;6276404810;1029973390;31126328187;61974746;4594176456;3043119937;2440522813;489388307;9534450700;5503535132;940688007;91514178605;13144010348;57817612741;522621283;109377744;1336703976;142245789;74506459;106085553;1156349653;2046600037
stt-rename-511.povray;8319800410;5730637791;527500566;17726971990;46481653;1752514958;3935384626;3187566681;222092552;9324208357;5093445941;897017928;51103719822;42751842043;63658135420;1838547056;318786827;1107811208;240747;45360339;97825699;893326238;3368918300
